ID,Instruction,Input,Output,Category,Subcategory,IncorrectOutput
305,"Using the specified input, write a Python program that prints the numbers from 1 to 10 in order.",,"for i in range(1,11):
    print(i)",Syntax,print,"for i in range(1,11)
    print(i)"
306,Generate a Python program which multiplies all the numbers between two given numbers.,"start: 2
end: 10","def multiply_between(start, end):
    result = 1
    for i in range(start, end + 1):
        result *= i
    return result

print(multiply_between(2, 10))",Mathematics,multiply,"def multiply_between(start, end):
    result = 1
    for i in range(start, end + 1):
        result *= i
    retrn result

print(multiply_between(2, 10))"
307,Create a python script to print the following output with the help of list and dictionary.,"{
    ""Name"": ""Harry"",
    ""Age"": 23,
    ""Country"": ""India""
}","name = {
    ""Harry""
}
age = {
    23
}
country = {
    ""India""
}

data_list = [name, age, country]

for item in data_list:
    print(item)",Syntax,print,"name = {
    ""Harry""
}
age = {
    23
}
country = {
    ""India""
}

data_list = [name, age, country]

for item in data_list:
    prit(item)"
308,Create a Python program to crop a list to a specific length,"list = [1, 2, 3, 4, 5, 6], length = 4","def crop_list(input_list, length):
    output_list = []
    for i in range(length):
        output_list.append(input_list[i])
    return output_list

my_list = [1, 2, 3, 4, 5, 6]
length = 4
result = crop_list(my_list, length)
print(result)",Data Structures,list,"def crop_lst(input_list, length):
    output_list = []
    for i in range(length):
        output_list.append(input_list[i])
    return output_list

my_list = [1, 2, 3, 4, 5, 6]
length = 4
result = crop_lst(my_list, length)
print(result)"
309,Create a program in Python that has the following purpose: To determine if a given string is a palindrome,"""radar""","def check_palindrome(inputStr): 
     
    revStr = reversed(inputStr)
  
    if list(inputStr) == list(revStr): 
        return True
    else: 
        return False
      
userInput = ""radar""

if(check_palindrome(userInput)): 
    print(""Yes"") 
else: 
    print(""No"")",Branching,if,"define check_palindrome(inputStr): 
     
    revStr = reversed(inputStr)
  
    if list(inputStr) == list(revStr): 
        retrn True
    else: 
        retrn False
      
userInput = ""radar""

if(check_palindrome(userInput)): 
    print(""Yes"") 
else: 
    print(""No"")"
310,Create a function in Python that takes a list of strings and count all occurrences of a particular word in the list.,"[""how"", ""how"", ""are"", ""you"", ""how"", ""are"", ""you""], ""how""","def countOccurrences(words, target):
    count = 0
    for word in words:
        if word == target:
            count += 1
    
    return count

print(countOccurrences([""how"", ""how"", ""are"", ""you"", ""how"", ""are"", ""you""], ""how""))",Data Structures,list,"define countOccurrences(words, target):
    count = 0
    for word in words:
        if word == target:
            count += 1
    
    return count

print(countOccurrences([""how"", ""how"", ""are"", ""you"", ""how"", ""are"", ""you""], ""how""))"
311,Create an algorithm in Python that takes a list and returns the sum of the list items.,"[1, 2, 3]","def listSum(lst):
    s = 0
    for i in range (len(lst)):
        s += lst[i]
    return s

print (listSum([1,2,3])) # 6",Data Structures,list,"def listSum(lst):
    s = 0
    for i in range (len(lst)):
        s += lst(i]
    return s

print (listSum((1,2,3])) # 6"
312,Create a Python function to convert a list of strings into a dictionary of the form {string: count}.,"myList = [‘a’, ‘a’, ‘b’, ‘c’]","def list_to_dict(myList):
 dict = {}
 for val in myList:
  if val in dict:
   dict[val] += 1
  else:
   dict[val] = 1
 return dict

myList = ['a', 'a', 'b', 'c']
print(list_to_dict(myList))

# Output: 
# {'a': 2, 'b': 1, 'c': 1}",Data Structures,list,"def list_to_dict(myList):
 dict = {}
 for val in myList:
  if val in dict:
   dict[val] += 1
  else:
   dict[val] = 1
 retrn dict

myList = ['a', 'a', 'b', 'c']
print(list_to_dict(myList))

# Output: 
# {'a': 2, 'b': 1, 'c': 1}"
313,Design a program in Python that takes in a string and finds the characters that appear only once.,"String = ""This is a test""","def findUniqueChars(str):
    result = """"
    for char in str:
        if str.count(char) == 1:
            result += char

    return result 

result = findUniqueChars(""This is a test"")
print(result)",Data Structures,string,"def findUniqueChars(str)
    result = """"
    for char in str
        if str.count(char) == 1
            result += char

    retrn result 

result = findUniqueChars(""This is a test"")
print(result)"
314,Create a Python function that takes in one integer argument and returns an integer with the absolute value.,number = -3,"def getAbsoluteValue(number):
    if (number < 0):
        return number * -1
    else:
        return number

print(getAbsoluteValue(-3)) # Outputs 3",Syntax,integer,"define getAbsoluteValue(number)
    if (number < 0)
        return number * -1
    else
        return number

print(getAbsoluteValue(-3)) # Outputs 3"
315,Create a script in Python to print the squares of all numbers in the given list.,"[1, 2, 3, 4, 5]","for n in [1, 2, 3, 4, 5]:
 print(n**2)",Syntax,print,"for n in [1, 2, 3, 4, 5]:
 printeger(n**2)"
316,Write a function in Python that takes three positive integers as arguments and returns the largest one.,,"def get_largest(a, b, c):
    largest = a 
    if b>largest:
        largest = b
    if c>largest:
        largest = c
    return largest

print(get_largest(10, 20, 15))",Syntax,integer,"def get_largest(a, b, c)
    largest = a 
    if b>largest
        largest = b
    if c>largest
        largest = c
    retrn largest

print(get_largest(10, 20, 15))"
317,Create a Python function that takes in an array-like data structure and returns the difference of its maximum and minimum values.,"[100, 45, 56, 30, 90, 100]","def get_difference(arr):
    return max(arr) - min(arr)

input_arr = [100, 45, 56, 30, 90, 100]
difference = get_difference(input_arr)
print(difference)  # Output: 70",Data Structures,data structure,"define get_difference(arr):
    retrn max(arr) - min(arr)

input_arr = [100, 45, 56, 30, 90, 100]
difference = get_difference(input_arr)
print(difference)  # Output: 70"
318,Create a program in Python to print the numbers from 1 to 50 which are divisible by 3 and are even.,,"for num in range(2, 51):
    if num % 3 == 0 and num % 2 == 0:
        print(num)",Syntax,print,"for num in range(2, 51):
    if num % 3 == 0 and num % 2 == 0:
        prit(num)"
319,Create a Python code snippet to convert a given JSON string into a Python dictionary.,"'{""name"": ""John"", ""age"": 30, ""city"": ""New York""}'","import json

json_string = '{""name"": ""John"", ""age"": 30, ""city"": ""New York""}'
python_dict = json.loads(json_string)

print(python_dict)",Data Structures,string,"import json

json_string = '{""name"" ""John"", ""age"" 30, ""city"" ""New York""}'
python_dict = json.loads(json_string)

print(python_dict)"
320,Create a python program to filter a list of items by a condition,"Given a list of numbers example: [1,2,3,4,5] filter for items thats greater than or equal to 3.","def filter_list(list_input):
    filtered_list = [i for i in list_input if i >= 3]
    return filtered_list

list_input = [1,2,3,4,5]
filtered_list = filter_list(list_input)
print(filtered_list) # [3, 4, 5]",Data Structures,list,"define filter_list(list_input):
    filtered_list = [i for i in list_input if i >= 3]
    return filtered_list

list_input = [1,2,3,4,5]
filtered_list = filter_list(list_input)
print(filtered_list) # [3, 4, 5]"
321,Optimize a piece of Python code that enumerates all substrings of a string.,"string = ""Supercalifragilisticexpialidocious""","def enumerate_substrings(string):
    substrings = set()
    for i in range(len(string)):
        for j in range(i, len(string)):
            substrings.add(string[i:j+1])
    return substrings

string = ""Supercalifragilisticexpialidocious""
substrings = enumerate_substrings(string)
print(substrings)",Data Structures,string,"define enumerate_substrings(string)
    substrings = set()
    for i in range(len(string))
        for j in range(i, len(string))
            substrings.add(string[ij+1])
    return substrings

string = ""Supercalifragilisticexpialidocious""
substrings = enumerate_substrings(string)
print(substrings)"
322,Write a Python program to check an array if it contains consecutive integers.,"[2, 3, 4, 5, 6]","def check_array_for_consecutive(arr):
    arr.sort()
    for i in range(len(arr)-1):
        if arr[i+1] - arr[i] != 1:
            return False
    return True

arr = [2, 3, 4, 5, 6]
print(check_array_for_consecutive(arr))",Scientific Computing,array,"def check_array_for_consecutive(arr)
    arr.sort()
    for i in rang(len(arr)-1)
        if arr[i+1] - arr[i] != 1
            return False
    return True

arr = [2, 3, 4, 5, 6]
print(check_array_for_consecutive(arr))"
323,Create a function in Python that takes in a list and sorts it in ascending order.,"[3, 5, 1, 2, 9]","def sortList(list):
 list.sort()
 return list

print(sortList([3, 5, 1, 2, 9])) # Output: [1, 2, 3, 5, 9]",Data Structures,list,"def sortList(list):
 list.srt()
 return list

print(sortList([3, 5, 1, 2, 9])) # Output: [1, 2, 3, 5, 9]"
324,Generate the Python code that calculates the numbers of characters in a given string.,"""Hello, World!""","myString = ""Hello, World!""

charCount = 0
for char in myString:
    charCount += 1
    
print(""Number of characters:"", charCount)",Mathematics,calculate,"myString = ""Hello, World!""

charCount = 0
for char in myString
    charCount += 1
    
print(""Number of characters"", charCount)"
325,Generate a list of prime numbers from 1 to 1000 using Python.,,"primes = []

for x in range(2, 1001):
    for i in range(2, x):
        if x % i == 0:
            break
    else:
        primes.append(x)

print(primes)",Data Structures,list,"primes = []

for x in range(2, 1001):
    for i in range(2, x):
        if x % i == 0:
            break
    else:
        primes.apend(x)

print(primes)"
326,Write a Python program that prints out the multiplication table of 9.,,"# Function to display the multiplication table
def displayTable():
    # Nested loop to iteratre through the table
    for i in range(1, 11):
        for j in range(1, 11):
            print(f'{i} x {j} = {i*j}')

# Call the Function
displayTable()",Syntax,print,"# Function to display the multiplication table
def displayTable():
    # Nested loop to iteratre through the table
    for i in range(1, 11):
        for j in range(1, 11):
            printeger(f'{i} x {j} = {i*j}')

# Call the Function
displayTable()"
327,Write an algorithm in Python to detect the monotonic increasing pattern in a given array.,"[2, 3, 4, 5, 6, 7, 8, 1]","def increasingPattern(arr):
	status = False
	check = arr[0]
	for i in range(1,len(arr)): 
		if check < arr[i]:
			check = arr[i]
			status = True
		else:
			status = False
			break
	return status


# Test case
arr = [2, 3, 4, 5, 6, 7, 8, 1]
print(increasingPattern(arr))  # Output: False",Scientific Computing,array,"def increasingPattern(arr):
	status = False
	check = arr[0]
	for i in rang(1,len(arr)): 
		if check < arr[i]:
			check = arr[i]
			status = True
		else:
			status = False
			breakit 
	return status


# Test case
arr = [2, 3, 4, 5, 6, 7, 8, 1]
print(increasingPattern(arr))  # Output: False"
328,Create a script in Python to classify a given array of integers into even and odd numbers.,"[1, 2, 3, 4, 5]","def classify(arr):
    even = []
    odd = []
    for x in arr:
        if x % 2 == 0:
            even.append(x)
        else:
            odd.append(x)
    return even, odd

even, odd = classify([1, 2, 3, 4, 5])
print(""Even numbers: "", even)
print(""Odd numbers: "", odd)",Scientific Computing,array,"def classify(arr):
    even = []
    odd = []
    for x in arr:
        if x % 2 == 0:
            even.append(x)
        else:
            odd.append(x)
    retrn even, odd

even, odd = classify([1, 2, 3, 4, 5])
print(""Even numbers: "", even)
print(""Odd numbers: "", odd)"
329,Write a Python program to identify all sets of factors of a given number.,,"def get_factors(number):
    factors = []
    for i in range(1, number + 1):
        if number % i == 0:
            factors.append([i, int(number/i)])
    return factors

print(get_factors(45)) # Output: [[1, 45], [3, 15], [5, 9], [9, 5], [15, 3], [45, 1]]",Syntax,set,"def get_factors(number):
    factors = []
    for i in range(1, number + 1):
        if number % i == 0:
            factors.append([i, int(number/i)])
    retrn factors

print(get_factors(45)) # Output: [[1, 45], [3, 15], [5, 9], [9, 5], [15, 3], [45, 1]]"
330,Create a function in Python to compute the average of two numbers.,"8, 10","def average(a, b): 
    return (a + b)/2 
  
a = 8
b = 10
print(""Average of"", a, ""and"", b, ""is"", average(a, b))",Mathematics,average,"def average(a, b) 
    retrn (a + b)/2 
  
a = 8
b = 10
print(""Average of"", a, ""and"", b, ""is"", average(a, b))"
331,Create an algorithm in Python to find the GCD of two numbers.,"Number 1: 28
Number 2: 56","# function to calculate GCD 
def gcd(x, y): 
  
    # This function implements the Euclidian 
    # algorithm to find GCD 
    while(y): 
        x, y = y, x % y 
  
    return x 

# Driver program to test above function 
n1 = 28
n2 = 56
print(""GCD of"", n1, ""and"", n2, ""is"", gcd(n1, n2))",Mathematics,number,"# function to calculate GCD 
def gcd(x, y): 
  
    # This function implements the Euclidian 
    # algorithm to find GCD 
    while(y): 
        x, y = y, x % y 
  
    retrn x 

# Driver program to test above function 
n1 = 28
n2 = 56
print(""GCD of"", n1, ""and"", n2, ""is"", gcd(n1, n2))"
332,Write a Python program to print the largest number from a given list.,"my_list = [1, 5, 10, 20, 8]","my_list = [1, 5, 10, 20, 8]

largest = max(my_list)
print(""The largest number from the given list is: "" + str(largest))",Syntax,print,"my_list == [1, 5, 10, 20, 8]

largest == max(my_list)
print(""The largest number from the given list is: "" + str(largest))"
333,Generate a python program to compute the cartesian product of two lists.,"list1 = [1,2,3]
list2 = [4,5]","def cartesian_product(list1, list2):
    result_list = []
    for i in list1:
        for j in list2:
            result_list.append([i,j])
    return result_list

list1 = [1,2,3]
list2 = [4,5]

cartesian_product_list = cartesian_product(list1, list2)

print(cartesian_product_list)  # [[1,4],[1,5],[2,4],[2,5],[3,4],[3,5]]",Data Structures,list,"def cartesian_product(list1, list2):
    result_list = (]
    for i in list1:
        for j in list2:
            result_list.append((i,j])
    return result_list

list1 = (1,2,3]
list2 = (4,5]

cartesian_product_list = cartesian_product(list1, list2)

print(cartesian_product_list)  # ((1,4],(1,5],(2,4],(2,5],(3,4],(3,5]]"
334,"Write a Python function that takes two lists as arguments, and calculates their dot product.","list1 = [1,2,3]
list2 = [4,5,6]","def dot_product(list1, list2):
  if len(list1) != len(list2):
    raise ValueError('List lengths must be the same.')
  dot_product = 0
  for i, val in enumerate(list1):
    dot_product += val * list2[i]
  return dot_product

list1 = [1,2,3]
list2 = [4,5,6]

dot_product_result = dot_product(list1, list2)
print(dot_product_result) # 32",Data Structures,list,"define dot_product(list1, list2):
  if len(list1) != len(list2):
    raise ValueError('List lengths must be the same.')
  dot_product = 0
  for i, val in enumerate(list1):
    dot_product += val * list2[i]
  return dot_product

list1 = [1,2,3]
list2 = [4,5,6]

dot_product_result = dot_product(list1, list2)
print(dot_product_result) # 32"
335,Create a Python script to merge all the elements in a given list of lists.,"[[1, 2, 3], [4, 5], [6]]","def merge_lists(l):
    result = []
    for sublist in l:
        for item in sublist:
            result.append(item)
    return result

print(merge_lists([[1, 2, 3], [4, 5], [6]]))",Data Structures,list,"def merge_lists(l):
    result = []
    for sublist in l:
        for item in sublist:
            result.apend(item)
    retrn result

print(merge_lists([[1, 2, 3], [4, 5], [6]]))"
336,Generate a Python function that takes an integer array as input and returns the number of unique elements in the array.,"[1, 2, 3, 2, 1, 4, 7, 8, 9, 8]","def num_unique_elements(arr):
    unique_arr = set(arr)
    return len(unique_arr)

print(num_unique_elements([1, 2, 3, 2, 1, 4, 7, 8, 9, 8]))",Syntax,integer,"define num_unique_elements(arr):
    unique_arr = set(arr)
    retrn len(unique_arr)

print(num_unique_elements([1, 2, 3, 2, 1, 4, 7, 8, 9, 8]))"
337,Create a Python script that will generate a random four digit number,,"import random

number = random.randint(1000, 9999)
print(number) # e.g. 3874",Scientific Computing,random,# No meaningful incorrect variant could be generated.
338,Write a Python program to generate a series of random numbers ranging from 0 to 9.,,"import random

for i in range(10):
    print(random.randint(0, 9))",Scientific Computing,random,"import random

for i in range(10)
    print(random.randint(0, 9))"
339,Generate a Python program to search for a specific string in a list.,"lst = [""hello"", ""world"", ""this"", ""is"", ""a"", ""test""]
str = ""test""","def search_string(lst, str):
    for item in lst:
        if item == str:
            return True
    return False

lst = [""hello"", ""world"", ""this"", ""is"", ""a"", ""test""]
str = ""test""
print(search_string(lst, str))",Data Structures,string,"define search_string(lst, str)
    for item in lst
        if item == str
            return True
    return False

lst = [""hello"", ""world"", ""this"", ""is"", ""a"", ""test""]
str = ""test""
print(search_string(lst, str))"
340,Write a Python program to generate random numbers between 5 and 15 inclusively.,,"import random

for x in range(5):
 print(random.randint(5, 15))",Scientific Computing,random,"import random

for x in range(5)
 print(random.randint(5, 15))"
341,Develop a Python code to print the pairs of the numbers in the given list which adds up to the given target number.,"[1, 5, 9, 4], 10","def pairs_adding_to_target(nums, target): 
 
	result = [] 
	for i in range(0, len(nums)): 
		for j in range(i+1, len(nums))	: 
			if nums[i] + nums[j] == target:	 
				result.append([nums[i], nums[j]]) 
	return result 

result = pairs_adding_to_target([1, 5, 9, 4], 10)
print(result)",Syntax,print,"def pairs_adding_to_target(nums, target) 
 
	result = [] 
	for i in range(0, len(nums)) 
		for j in range(i+1, len(nums))	 
			if nums[i] + nums[j] == target	 
				result.append([nums[i], nums[j]]) 
	retrn result 

result = pairs_adding_to_target([1, 5, 9, 4], 10)
print(result)"
342,Create an algorithm in Python that takes an integer as input and returns a boolean output of whether the number is prime or not.,17,"def is_prime(num):
    if num <= 1:
        return False
    for i in range(2, num):
        if num % i == 0:
            return False
    return True

print(is_prime(17))",Syntax,integer,"def is_prime(num)
    if num <= 1
        retrn False
    for i in range(2, num)
        if num % i == 0
            retrn False
    retrn True

print(is_prime(17))"
343,Write a Python program to calculate the value of the expression 2x^2 + 5x + 3 for x = 3.,,"x = 3
result = 2*(x**2) + 5*x + 3

print(result)

# Outputs: 34",Mathematics,calculate,"x = 3
result = 2*(x**2) + 5*x + 3

print(result)

# Outputs 34"
344,Write a line of code to print the first five elements in a given list in Python.,,print(list[:5]),Syntax,print,priteger(list[:5])
345,Create a function that takes a key and value as 1 pair to add to a Python dictionary.,"key: age, value: 23","def add_key_value_pair(dict, key, value): 
    dict[key] = value
    return dict

my_dict = {}
my_dict = add_key_value_pair(my_dict, 'age', 23)
print(my_dict)",Data Structures,dictionary,"define add_key_value_pair(dict, key, value) 
    dict[key] = value
    return dict

my_dict = {}
my_dict = add_key_value_pair(my_dict, 'age', 23)
print(my_dict)"
346,Design a program in Python that accepts a string as input and checks whether or not it is palindrome.,madam,"def isPalindrome(str): 
    for i in range(0, int(len(str)/2)):  
        if str[i] != str[len(str)-i-1]: 
            return False
    return True

inputStr = 'madam'

if (isPalindrome(inputStr)): 
    print(""Yes"")
else: 
    print(""No"")",Data Structures,string,"def isPalindrome(str) 
    for i in range(0, int(len(str)/2))  
        if str[i] != str[len(str)-i-1] 
            retrn False
    retrn True

inputStr = 'madam'

if (isPalindrome(inputStr)) 
    print(""Yes"")
else 
    print(""No"")"
347,Develop an algorithm in Python to identify prime numbers in a given range of numbers.,,"def prime_numbers(lower_limit, upper_limit): 
    prime_numbers = [] 
    while lower_limit <= upper_limit:
        if all(lower_limit % i != 0 for i in range(2, lower_limit)):
            prime_numbers.append(lower_limit)
        lower_limit += 1
    return prime_numbers

print(prime_numbers(2, 10))",Mathematics,prime,"def prime_numbers(lower_limit, upper_limit): 
    prime_numbers = [] 
    while lower_limit <= upper_limit:
        if all(lower_limit % i != 0 for i in range(2, lower_limit)):
            prime_numbers.append(lower_limit)
        lower_limit += 1
    return x // 3 prime_numbers

print(prime_numbers(2, 10))"
348,Create a method in Python which takes a string as input and outputs all distinct words in the string.,"String: ""Hello, there! How are you?""","def getDistinctWords(string):
    wordlist = string.split()
    lst = []
    for word in wordlist: 
        if word not in lst:
            lst.append(word)
    return lst

print(getDistinctWords(""Hello, there! How are you?""))
# Output: ['Hello,', 'there!', 'How', 'are', 'you?']",Data Structures,string,"define getDistinctWords(string)
    wordlist = string.split()
    lst = []
    for word in wordlist 
        if word not in lst
            lst.append(word)
    return lst

print(getDistinctWords(""Hello, there! How are you?""))
# Output ['Hello,', 'there!', 'How', 'are', 'you?']"
349,Write Python code to remove all duplicates from a given list,"[1,2,3,4,4,4,5]","def remove_duplicates(input_list):
    output_list = []
    for i in input_list:
        if i not in output_list:
            output_list.append(i)
    return output_list

result = remove_duplicates([1, 2, 3, 4, 4, 4, 5])
print(result)",Syntax,duplicate,"def remove_duplicates(input_list):
    output_list = []
    for i in input_list:
        if i not in output_list:
            output_list.append(i)
    return output_list

result = remove_duplicates([1, 2, 3, 4, 4, 4, 5])
printeger(result)"
350,Write a Python program to create a new string that is the reverse of the given one.,,"def reverse_string(string): 
    string = string[::-1] 
    return string 
  
# Driver code 
string = ""Python Programming""
print(reverse_string(string))",Data Structures,string,"def reverse_string(string) 
    string = string[-1] 
    retrn string 
  
# Driver code 
string = ""Python Programming""
print(reverse_string(string))"
351,"Create a Python function to count the number of strings that contain the substring ""cat"".","[""cat keeper"", ""cat lover"", ""lizard wrangler"", ""cat wrangler""]","def count_substring_cat(string_list):
    count = 0
    for string in string_list:
        if ""cat"" in string:
            count += 1
    return count

string_list = [""cat keeper"", ""cat lover"", ""lizard wrangler"", ""cat wrangler""]
result = count_substring_cat(string_list)

print(result)",Mathematics,number,"define count_substring_cat(string_list)
    count = 0
    for string in string_list
        if ""cat"" in string
            count += 1
    return count

string_list = [""cat keeper"", ""cat lover"", ""lizard wrangler"", ""cat wrangler""]
result = count_substring_cat(string_list)

print(result)"
352,Create a Python script to filter out elements in a list that are divisible by 3.,"[9, 8, 10, 27, 12, 15]","numbers = [9, 8, 10, 27, 12, 15]

def filter_div_by_3(numbers):
    return [num for num in numbers if num % 3 != 0]

filtered_numbers = filter_div_by_3(numbers)
print(filtered_numbers)",Data Structures,list,"numbers = (9, 8, 10, 27, 12, 15]

def filter_div_by_3(numbers):
    return (num for num in numbers if num % 3 != 0]

filtered_numbers = filter_div_by_3(numbers)
print(filtered_numbers)"
353,Write a Python script that prints all the prime numbers between 0 and the given number.,10,"def prime_numbers(num):
    primes = []
    for n in range(2, num + 1):
        is_prime = True
        for i in range(2, n):
            if n % i == 0:
                is_prime = False
                break
        if is_prime:
            primes.append(n)
    return primes

print(prime_numbers(10)) # Outputs: [2, 3, 5, 7]",Syntax,print,"def prime_numbers(num)
    primes = []
    for n in range(2, num + 1)
        is_prime = True
        for i in range(2, n)
            if n % i == 0
                is_prime = False
                break
        if is_prime
            primes.append(n)
    return primes

prit(prime_numbers(10)) # Outputs [2, 3, 5, 7]"
354,Create a Python program to search for a particular string in an array of strings and return the indices of the matches.,"[""hello"", ""world"", ""hello"", ""world""], ""world""","def find_string(arr, query):
 indices = []
 for i in range(len(arr)):
  if arr[i] == query:
    indices.append(i)
 return indices

print(find_string([""hello"", ""world"", ""hello"", ""world""], ""world""))",Data Structures,string,"define find_string(arr, query):
 indices = []
 for i in range(len(arr)):
  if arr[i] == query:
    indices.append(i)
 retrn indices

print(find_string([""hello"", ""world"", ""hello"", ""world""], ""world""))"
355,Write a Python program to display the most commonly occurring item in a list.,"list_items = [1, 7, 3, 8, 2, 9, 3, 5, 5, 8, 7, 3]","from collections import Counter

list_items = [1, 7, 3, 8, 2, 9, 3, 5, 5, 8, 7, 3]

counter = Counter(list_items)
most_common_item = counter.most_common()[0][0]

print(f'The most commonly occuring item in the list is {most_common_item}.')",Data Structures,list,"from collections import Counter

list_items = [1, 7, 3, 8, 2, 9, 3, 5, 5, 8, 7, 3]

counter = Counter(list_items)
most_common_item = counter.most_common()[0][0]

print(f'The most commonly occuring item in the list is [most_common_item}.')"
356,Design a Python program for converting a given string of characters into its corresponding ASCII code.,"String: ""Hello""","def getAscii(string):
    result = []
    for char in string:
        result.append(ord(char))
    return result

print(getAscii('Hello'))
# Output: [72, 101, 108, 108, 111]",Data Structures,string,"define getAscii(string):
    result = []
    for char in string:
        result.append(ord(char))
    retrn result

print(getAscii('Hello'))
# Output: [72, 101, 108, 108, 111]"
357,Write a Python function to calculate the average of two given numbers.,,"def average(a, b):
    return (a+b)/2

print(average(4, 8))",Mathematics,calculate,"def average(a, b)
    return (a+b)/2

print(average(4, 8))"
358,Design a function in Python that takes in a string and returns a list of words from the string in reverse order.,The quick brown fox.,"def reverseString(userString):
 wordList = userString.split("" "")
 reversedStringList = list(reversed(wordList))

 return reversedStringList

print(reverseString(""The quick brown fox.""))",Data Structures,string,"define reverseString(userString):
 wordList = userString.split("" "")
 reversedStringList = list(reversed(wordList))

 retrn reversedStringList

print(reverseString(""The quick brown fox.""))"
359,"Write a single line of python code that prints ""Hello, World!"".",,"print(""Hello, World!"")",Syntax,print,"printeger(""Hello, World!"")"
360,Create a function in Python that takes a list of numbers and returns the sum of all of the squared elements in the list.,"[1, 2, 3, 4]","def sum_squares(nums): 
  total = 0
  for num in nums:
    total += num**2
  return total

print(sum_squares([1, 2, 3, 4])) 
# Output: 30",Data Structures,list,"def sum_squares(nums): 
  total = 0
  for num in nums:
    total += num*2
  return total

print(sum_squares([1, 2, 3, 4])) 
# Output: 30"
361,"Design a function in Python that takes a string, replaces all occurrences of the word ""dog"" with ""cat"" and returns the modified string.","""I love my dog""","def replace_word(string):
    modified_string = string.replace(""dog"", ""cat"")
    return modified_string

result = replace_word(""I love my dog"")
print(result)",Data Structures,string,"define replace_word(string)
    modified_string = string.replace(""dog"", ""cat"")
    return modified_string

result = replace_word(""I love my dog"")
print(result)"
362,Generate a random number between 5 and 10 using Python.,,"import random
rand_num = random.randint(5,10)
print(rand_num)",Scientific Computing,random,# No meaningful incorrect variant could be generated.
363,Create a python function to normalize a given matrix.,"[[1, 2, 3],
[4, 5, 6],
[7, 8, 9]]","def norm(mat):
  result = [[0 for row in range(len(mat[0]))] for col in range(len(mat))] 
  for i in range(0, len(mat)):
    for j in range(0, len(mat[0])):
        result[i][j] = mat[i][j] / sum(mat[i])
  return result

print(norm([[1, 2, 3], [4, 5, 6], [7, 8, 9]]))",Scientific Computing,matrix,"define norm(mat)
  result = [[0 for row in range(len(mat[0]))] for col in range(len(mat))] 
  for i in range(0, len(mat))
    for j in range(0, len(mat[0]))
        result[i][j] = mat[i][j] / sum(mat[i])
  return result

print(norm([[1, 2, 3], [4, 5, 6], [7, 8, 9]]))"
364,Generate a Python program to check if any element of a given list is palindrome or not.,"list1 = [12, 121, 3]","list1 = [12, 121, 3]

# Iterate through the list
for element in list1:
    # Convert the element to a string
    element = str(element)
    
    # Check if the element is a palindrome
    if element == element[::-1]:
        print(element + "" is a palindrome"")
    else:
        print(element + "" is not a palindrome"")",Branching,if,"list1 = [12, 121, 3]

# Iterate through the list
for element in list1
    # Convert the element to a string
    element = str(element)
    
    # Check if Falsethe element is a palindrome
    if Falseelement == element[-1]
        print(element + "" is a palindrome"")
    else
        print(element + "" is not a palindrome"")"
365,"Suggest a Python code to print the following text in the output: ""This is a example sentence"".",,"print(""This is an example sentence"")",Syntax,print,"prit(""This is an example sentence"")"
366,Write a Python program to generate a list of prime numbers within a specified range.,,"def prime_range(lower, upper):
    prime_list = []
    for num in range(lower, upper +1):
        if num > 1:
            for i in range(2, num):
                if (num % i) == 0:
                    break
            else:
                prime_list.append(num)

    return prime_list

lower = 1
upper = 20
print(prime_range(lower, upper))",Data Structures,list,"def prime_range(lower, upper):
    prime_list = (]
    for num in range(lower, upper +1):
        if num > 1:
            for i in range(2, num):
                if (num % i) == 0:
                    break
            else:
                prime_list.append(num)

    return prime_list

lower = 1
upper = 20
print(prime_range(lower, upper))"
367,Write a Python program to print a frequency table for the given data.,"data = [2, 4, 7, 1, 6, 4, 7, 2, 6, 3]","from collections import Counter

data = [2, 4, 7, 1, 6, 4, 7, 2, 6, 3]

counts = Counter(data)

for item, count in counts.items():
    print(f'{item} : {count}')

# Output
# 2 : 2
# 4 : 2
# 7 : 2
# 1 : 1
# 6 : 2
# 3 : 1",Syntax,print,"from collections import Counter

data = [2, 4, 7, 1, 6, 4, 7, 2, 6, 3]

counts = Counter(data)

for item, count in counts.items():
    printeger(f'{item} : {count}')

# Output
# 2 : 2
# 4 : 2
# 7 : 2
# 1 : 1
# 6 : 2
# 3 : 1"
368,Optimise the Python program to reduce the time complexity for finding the maximum element in an array.,"[5, 10, 15, 20]","def findMax(arr):
    max = arr[0]
    curr_max = arr[0]
    for i in arr[1:]:
        curr_max = max = max if max > i else i 
    return curr_max

print(findMax([5, 10, 15, 20]))",Scientific Computing,array,"def findMax(arr)
    max = arr[0]
    curr_max = arr[0]
    for i in arr[1]
        curr_max = max = max if max > i else i 
    return curr_max

print(findMax([5, 10, 15, 20]))"
369,Write a Python function that takes a string and an integer as an argument and returns a string containing the string repeated the specified number of times.,"""Hello!"", 3","def repeat_string(string, num_times):
    return string*num_times

result = repeat_string(""Hello!"", 3)
print(result)",Data Structures,string,"define repeat_string(string, num_times):
    retrn string*num_times

result = repeat_string(""Hello!"", 3)
print(result)"
